   time in kHS23-Hrs by ByCountry     ,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,Total
BR,         13,          2,          6,         23,         64,         84,         49,        189,         36,          2,         25,         58,        346,         64,         74,        195,         41,         17,         20,         27,          0,         71,         20,       1436
CA,         78,        570,        443,         12,          0,        291,        365,        284,         98,         60,        138,        104,         90,         33,         87,        217,         97,         17,        104,         76,        161,        374,        103,       3811
CERN,        963,       1737,       1254,        618,       1097,       1366,       1098,       1363,        448,        267,        667,        538,       1028,        417,        979,       1452,        409,        134,        383,        405,        437,        743,        550,      18366
CH,          5,          2,         10,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,         15,          0,         41
CZ,        525,        743,       1002,        159,          8,         11,        824,         96,          0,          0,         62,        219,        858,        159,        225,       1134,        353,         26,         90,        205,        145,        211,        293,       7358
ES,        424,        676,        628,        178,        621,        918,        910,        561,        222,        119,        188,        158,        225,        108,        285,        571,        208,         17,         94,        263,        131,        174,         81,       7771
FR,        143,        326,        288,        157,        590,        324,        309,        384,        149,         49,        170,        136,        517,        121,        214,        617,        121,          8,         54,        349,         37,         62,         97,       5232
IN,        673,        352,        669,        222,        249,        573,        641,       1126,        135,        269,        175,        240,        524,          0,        246,       1507,        380,          0,        143,         64,         98,        113,        104,       8512
IT,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         17,        274,        292
NL,       1032,        709,       1962,        981,       1340,       2378,       2305,       1749,        129,        311,        762,       1106,       2799,        293,        925,       2398,        288,         67,        440,         62,         87,        596,        351,      23082
RU,         60,         48,         13,         28,        661,        269,        153,        445,        297,         27,        451,        341,        282,         80,        339,       1024,        120,         13,         43,          0,          0,          0,          0,       4702
UK,       2126,       5232,       3289,       1179,       2685,       7272,       5193,       3477,       1188,       1519,       2795,       2701,       6862,       3521,       2897,       7090,       1514,        319,       3419,       2632,       1654,       1892,       1361,      71828
US,       9418,      12254,      31215,      44237,      21003,      19864,      28683,      26967,       7630,       6487,       9322,       6768,      25045,      34820,      26474,      12414,      17579,      13528,      29377,      34619,      18428,      14607,       9847,     460597
undefined,        139,        255,        713,        276,        153,        300,        380,        191,         41,        169,        144,        251,        270,        199,         14,         78,          9,          0,          0,        112,         27,         28,         67,       3827
Total,      15604,      22912,      41496,      48077,      28476,      33655,      40914,      36837,      10380,       9286,      14904,      12627,      38851,      39819,      32765,      28703,      21126,      14151,      34173,      38818,      21210,      18910,      13155,     616860
