   time in MHr by site        ,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,Total

BR_CBPF,      0.002,      0.006,      0.042,      0.007,      0.009,      0.064,      0.016,      0.037,      0.062,      0.068,      0.000,      0.007,     0.320
CA_SFU,      0.004,      0.001,      0.005,      0.002,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.001,     0.014
CA_Victoria,      0.011,      0.011,      0.005,      0.002,      0.008,      0.020,      0.009,      0.002,      0.009,      0.025,      0.056,      0.037,     0.194
CERN,      0.067,      0.074,      0.115,      0.039,      0.090,      0.134,      0.038,      0.021,      0.083,      0.334,      0.121,      0.069,     1.183
CH_UNIBE-LHEP,      0.000,      0.000,      0.011,      0.000,      0.000,      0.000,      0.000,      0.000,      0.002,      0.011,      0.000,      0.001,     0.026
CZ_FZU,      0.011,      0.058,      0.099,      0.015,      0.021,      0.103,      0.032,      0.002,      0.028,      0.381,      0.019,      0.025,     0.794
ES_CIEMAT,      0.000,      0.000,      0.000,      0.001,      0.002,      0.002,      0.004,      0.000,      0.000,      0.000,      0.000,      0.006,     0.017
ES_PIC,      0.024,      0.029,      0.023,      0.009,      0.024,      0.050,      0.015,      0.002,      0.014,      0.109,      0.074,      0.011,     0.385
FR_CCIN2P3,      0.016,      0.020,      0.066,      0.013,      0.020,      0.061,      0.012,      0.002,      0.037,      0.217,      0.045,      0.006,     0.515
IN_TIFR,      0.017,      0.022,      0.049,      0.000,      0.022,      0.137,      0.035,      0.000,      0.023,      0.042,      0.010,      0.010,     0.367
IT_CNAF,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.002,     0.002
NL_NIKHEF,      0.039,      0.119,      0.106,      0.006,      0.021,      0.050,      0.012,      0.004,      0.050,      0.178,      0.037,      0.016,     0.638
NL_SURFsara,      0.058,      0.162,      0.241,      0.021,      0.066,      0.199,      0.016,      0.008,      0.095,      0.494,      0.010,      0.054,     1.422
RU_JINR,      0.041,      0.032,      0.044,      0.009,      0.031,      0.108,      0.014,      0.004,      0.005,      0.000,      0.000,      0.000,     0.288
UK_Bristol,      0.031,      0.026,      0.082,      0.039,      0.026,      0.049,      0.007,      0.003,      0.024,      0.049,      0.012,      0.024,     0.373
UK_Brunel,      0.029,      0.029,      0.038,      0.010,      0.011,      0.028,      0.007,      0.002,      0.024,      0.082,      0.021,      0.011,     0.292
UK_Edinburgh,      0.002,      0.008,      0.015,      0.002,      0.003,      0.011,      0.001,      0.000,      0.011,      0.122,      0.023,      0.005,     0.204
UK_Imperial,      0.015,      0.047,      0.030,      0.002,      0.006,      0.025,      0.010,      0.001,      0.023,      0.093,      0.043,      0.013,     0.309
UK_Lancaster,      0.013,      0.012,      0.025,      0.012,      0.010,      0.022,      0.002,      0.000,      0.011,      0.104,      0.052,      0.000,     0.262
UK_Liverpool,      0.000,      0.000,      0.000,      0.000,      0.000,      0.013,      0.006,      0.001,      0.009,      0.053,      0.033,      0.004,     0.119
UK_Manchester,      0.048,      0.165,      0.130,      0.118,      0.076,      0.188,      0.014,      0.000,      0.000,      0.147,      0.087,      0.030,     1.003
UK_Oxford,      0.006,      0.007,      0.023,      0.007,      0.008,      0.029,      0.005,      0.001,      0.006,      0.054,      0.005,      0.007,     0.156
UK_QMUL,      0.047,      0.044,      0.064,      0.009,      0.004,      0.001,      0.001,      0.002,      0.033,      0.273,      0.061,      0.005,     0.544
UK_RAL-PPD,      0.033,      0.113,      0.142,      0.066,      0.081,      0.206,      0.039,      0.008,      0.151,      0.382,      0.041,      0.089,     1.351
UK_RAL-Tier1,      0.127,      0.157,      0.302,      0.064,      0.043,      0.110,      0.072,      0.082,      0.304,      0.167,      0.090,      0.000,     1.520
UK_Sheffield,      0.012,      0.012,      0.012,      0.004,      0.000,      0.033,      0.005,      0.000,      0.009,      0.050,      0.039,      0.004,     0.182
US_BNL,      0.009,      0.016,      0.010,      0.007,      0.007,      0.024,      0.004,      0.010,      0.011,      0.142,      0.004,      0.018,     0.262
US_Caltech,      0.000,      0.000,      0.000,      0.001,      0.006,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.007
US_Colorado,      0.002,      0.028,      0.034,      0.014,      0.023,      0.041,      0.013,      0.012,      0.035,      0.056,      0.013,      0.024,     0.293
US_FNAL-FermiGrid,      0.000,      0.000,      0.000,      1.605,      2.364,      1.164,      1.632,      1.369,      2.748,      3.586,      1.640,      1.210,    17.319
US_FNAL-T1,      0.000,      0.000,      0.000,      0.015,      0.009,      0.016,      0.009,      0.002,      0.010,      0.024,      0.052,      0.027,     0.164
US_FermiGrid,      0.849,      0.825,      2.366,      1.535,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     5.575
US_MWT2,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.000
US_Michigan,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,     0.002
US_NERSC,      0.000,      0.003,      0.002,      0.024,      0.039,      0.003,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,     0.071
US_Nebraska,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.002,      0.000,      0.000,      0.000,      0.000,      0.000,     0.003
US_NotreDame,      0.000,      0.000,      0.003,      0.004,      0.002,      0.003,      0.001,      0.004,      0.002,      0.000,      0.000,      0.001,     0.022
US_Omaha,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.001,      0.000,      0.000,      0.000,      0.000,      0.000,     0.002
US_PuertoRico,      0.002,      0.005,      0.004,      0.001,      0.002,      0.004,      0.001,      0.000,      0.000,      0.001,      0.001,      0.002,     0.021
US_SU-ITS,      0.000,      0.000,      0.001,      0.006,      0.006,      0.043,      0.032,      0.004,      0.003,      0.001,      0.002,      0.023,     0.120
US_Swan,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.001
US_UCSD,      0.002,      0.006,      0.004,      0.003,      0.003,      0.005,      0.001,      0.001,      0.003,      0.004,      0.004,      0.002,     0.038
US_UChicago,      0.000,      0.000,      0.000,      0.000,      0.000,      0.005,      0.008,      0.002,      0.028,      0.170,      0.005,      0.025,     0.243
US_UConn-HPC,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.002,      0.000,      0.001,      0.033,      0.004,      0.002,     0.042
US_WSU,      0.001,      0.001,      0.006,      0.008,      0.006,      0.005,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.026
US_Wisconsin,      0.002,      0.007,      0.004,      0.002,      0.002,      0.009,      0.001,      0.001,      0.001,      0.003,      0.000,      0.002,     0.034
undefined,      0.013,      0.030,      0.030,      0.018,      0.001,      0.007,      0.001,      0.000,      0.000,      0.010,      0.003,      0.003,     0.116
