   time in MHr by country      ,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,Total
BR,      0.011,      0.001,      0.000,      0.000,      0.000,      0.007,      0.001,      0.035,      0.010,      0.006,      0.000,      0.001,     0.073
CA,      0.030,      0.003,      0.000,      0.000,      0.000,      0.000,      0.005,      0.038,      0.006,      0.001,      0.002,      0.002,     0.087
CERN,      0.329,      0.058,      0.054,      0.007,      0.011,      0.052,      0.041,      0.599,      0.034,      0.034,      0.006,      0.025,     1.251
CH,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.000
CZ,      0.119,      0.015,      0.021,      0.001,      0.000,      0.001,      0.002,      0.106,      0.000,      0.000,      0.005,      0.038,     0.308
ES,      0.086,      0.022,      0.017,      0.001,      0.003,      0.053,      0.016,      0.181,      0.017,      0.005,      0.007,      0.015,     0.424
FR,      0.003,      0.000,      0.000,      0.001,      0.005,      0.022,      0.002,      0.058,      0.004,      0.000,      0.001,      0.007,     0.103
IN,      0.221,      0.016,      0.035,      0.012,      0.000,      0.036,      0.014,      0.118,      0.005,      0.006,      0.001,      0.001,     0.466
IT,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.000
NL,      0.431,      0.028,      0.077,      0.002,      0.004,      0.182,      0.027,      0.462,      0.024,      0.007,      0.028,      0.180,     1.453
RU,      0.005,      0.015,      0.000,      0.001,      0.000,      0.018,      0.001,      0.022,      0.018,      0.002,      0.000,      0.001,     0.082
UK,      1.269,      0.361,      0.048,      0.059,      0.019,      0.493,      0.060,      0.972,      0.149,      0.078,      0.110,      0.375,     3.992
US,      0.817,      0.240,      0.167,      0.102,      0.029,      0.277,      0.062,      1.206,      0.121,      0.122,      0.019,      0.275,     3.437
undefined,      0.163,      0.181,      0.324,      1.017,      0.025,      0.005,      0.003,      0.070,      0.004,      0.002,      0.000,      0.007,     1.800
